trial,type,season,release,loc,geno,harvest,rep,row,column,nops,noph,vw,nocr,crw,ncrw,trw
ICA-ST02,check,2019,NA,Ica,Cemsa,120 days,1,1,2,120,93,44,108,24.02,3.02,NA
ICA-ST02,variety,2019,2014,Ica,Sumi,120 days,1,1,3,120,110,41.85,211,34.23,11.19,NA
ICA-ST02,variety,2019,2010,Ica,Adriano,120 days,1,1,4,120,96,31.93,202,28.29,11.29,NA
ICA-ST02,variety,2019,1992,Ica,Caplina,120 days,1,1,5,120,90,29.86,56,9.21,1.75,NA
ICA-ST02,variety,2019,1992,Ica,Tacna,120 days,1,2,1,120,66,27.41,54,10.13,3.18,NA
ICA-ST02,check,2019,NA,Ica,Dagga,120 days,1,2,2,120,50,22.56,60,13.8,3.48,NA
ICA-ST02,variety,2019,2014,Ica,Isabel,120 days,1,2,3,120,77,18.11,59,8.85,2.04,NA
ICA-ST02,check,2019,2014,Ica,Salyboro,120 days,1,2,4,120,101,36.83,114,19.92,6.35,NA
ICA-ST02,variety,2019,2010,Ica,Arne,120 days,1,2,5,120,93,21.8,169,24.55,7.38,NA
ICA-ST02,variety,2019,1992,Ica,Atacama,120 days,1,3,1,120,73,46.48,32,6.21,1.04,NA
ICA-ST02,variety,2019,2010,Ica,Benjamin,120 days,1,3,2,120,97,31.87,285,53.35,19.29,NA
ICA-ST02,variety,2019,2014,Ica,PZ06.120,120 days,1,3,3,120,90,42.04,57,6.67,11.06,NA
ICA-ST02,variety,2019,1992,Ica,Costanero,120 days,1,3,4,120,105,41.69,47,7.81,4.63,NA
ICA-ST02,variety,2019,1992,Ica,Huambachero,120 days,1,3,5,120,74,47.72,103,8.94,7.31,NA
ICA-ST02,variety,2019,2001,Ica,INA-100,120 days,1,4,1,120,88,54.8,98,22.02,7.8,NA
ICA-ST02,variety,2019,2014,Ica,Abigail,120 days,1,4,2,120,95,52.8,228,47.19,9.6,NA
ICA-ST02,variety,2019,1992,Ica,Jonathan,120 days,1,4,3,120,99,51.26,108,19.57,7.27,NA
ICA-ST02,variety,2019,2000,Ica,Milagrosa,120 days,1,4,4,120,91,42.25,94,13.64,5.9,NA
ICA-ST02,variety,2019,1992,Ica,Yarada,120 days,1,4,5,120,79,31.16,91,17.57,4.37,NA
ICA-ST02,variety,2019,1992,Ica,Yarada,120 days,2,1,6,120,55,25.26,66,11.36,2.34,NA
ICA-ST02,variety,2019,1992,Ica,Jonathan,120 days,2,1,7,120,99,49.74,106,20.72,10.13,NA
ICA-ST02,variety,2019,1992,Ica,Atacama,120 days,2,1,8,120,78,51.91,29,6.2,2.6,NA
ICA-ST02,check,2019,NA,Ica,Dagga,120 days,2,1,9,120,50,19.74,54,15.01,3.66,NA
ICA-ST02,check,2019,2014,Ica,Salyboro,120 days,2,1,10,120,91,40.34,131,23.74,8.59,NA
ICA-ST02,variety,2019,2010,Ica,Alexander,120 days,2,2,6,120,90,28.5,199,38.2,6.65,NA
ICA-ST02,variety,2019,2010,Ica,Benjamin,120 days,2,2,7,120,108,21.14,280,40.88,14.99,NA
ICA-ST02,variety,2019,2014,Ica,Sumi,120 days,2,2,8,120,102,30.86,154,26.52,7.9,NA
ICA-ST02,variety,2019,2000,Ica,Milagrosa,120 days,2,2,9,120,89,36.6,91,12.69,10.85,NA
ICA-ST02,variety,2019,1992,Ica,Huambachero,120 days,2,2,10,120,105,50.2,60,6.28,14.7,NA
ICA-ST02,variety,2019,2014,Ica,Isabel,120 days,2,3,6,120,72,13.33,47,7.69,2.06,NA
ICA-ST02,variety,2019,2010,Ica,Adriano,120 days,2,3,7,120,97,31.01,149,29.5,15.52,NA
ICA-ST02,variety,2019,2014,Ica,Abigail,120 days,2,3,8,120,103,29.93,181,31.98,12.41,NA
